doc_id,speech_id,chunk_order,bertopic_topic_id,bertopic_topic_name,bertopic_topic_probability,manual_open_code_1,manual_axial_category,manual_selective_theme,text_excerpt
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_008,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,8,4,4_kemerdekaan_dia_perang_mau,1.0,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Kalau tidak salah semua perusahaan di Korea, di Jepang, ada saatnya mereka semua berdiri, lagu kebangsaan dikumandangkan. Semangat nasionalis, semangat patriotik cinta tanah air ini yang harus mendorong semua jajaran Pertamina, terutama yang paling atas. Karena, kita mengerti sif..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_007,SPCH_004_PERESMIAN_166_SEKOLAH,7,4,4_kemerdekaan_dia_perang_mau,1.0,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"Kita punya lagu kebangsaan, apa lagu kebangsaan itu hanya untuk dinyanyikan? Saudara-saudara sekalian, Saya ingatkan kembali ke semua unsur, terutama orang-orang pintar. Saudara-saudara, kita bernegara untuk memperbaiki kehidupan seluruh rakyat Indonesia, bukan segelintir rakyat,..."
SPCH_002_PANEN_RAYA_CHK_011,SPCH_002_PANEN_RAYA,11,5,5_swasembada_amran_harga_tokoh,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"""Amran itu hati-hati, amran itu kadang-kadang banyak janjinya saja.""Tetapi hari ini, Saudara-saudara sekalian, Saudara Andi Amran Sulaiman saya beri bintang jasa utama. Dia bersama kalian, jajaran kalian semua ini, semua kalian telah mengamankan masa depan bangsa Indonesia. Dan,..."
SPCH_002_PANEN_RAYA_CHK_012,SPCH_002_PANEN_RAYA,12,5,5_swasembada_amran_harga_tokoh,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Kalau dia itu petani asli, mereka ini, kulitnya hitam enggak ada petani yang benar kulitnya putih, yang kulitnya putih itu bintang film atau penyanyi, penyanyi band. Memang Menteri Pertanian dan Wakil Menteri Pertanian ini cocok, cocok itu, kalau berjalan itu, kalau berjalan itu..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_005,SPCH_004_PERESMIAN_166_SEKOLAH,5,5,5_swasembada_amran_harga_tokoh,1.0,"Investasi, industrialisasi, dan pertumbuhan ekonomi",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"Dirut Agrinas Pangan, ini orang dari Timor Timur tadinya, tapi loyal sama merah-putih, ikut ke sini, beliau namanya Joao Mota, namanya panjang sekali, Joao Angelo De Sousa Mota, benar? Kepala juga mulai botak, pintar pasti. Saudara-saudara sekalian, Saya hari ini sangat bahagia,..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_008,SPCH_004_PERESMIAN_166_SEKOLAH,8,6,6_anak_orang tuamu_tuamu_son,1.0,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Dan, saya terima kasih, program-program kita berhasil karena dukungan semua, dukungan bupati, dukungan wali kota, dukungan gubernur, dukungan pimpinan polisi, pimpinan tentara, dukungan semua, ke K/L-K/L di mana-mana. Ini bukti kita berbuat sehingga anak-anak kita hari ini, yang..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_009,SPCH_004_PERESMIAN_166_SEKOLAH,9,6,6_anak_orang tuamu_tuamu_son,1.0,Pendidikan dan mobilitas sosial,Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Bayangkan, bayangkan, kalau waktu itu kita, saya dan menteri-menteri, tidak ambil sikap yang berani, mari kita berbuat yang mungkin tidak lazim. Kita bikin sekolah yang terbaik, sekolah berasrama untuk mereka-mereka yang mungkin tidak punya harapan, mereka yang dari keluarga yang..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_008,SPCH_005_WORLD_ECONOMIC_FORUM,8,6,6_anak_orang tuamu_tuamu_son,1.0,Pendidikan dan mobilitas sosial,Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Their only condition for entering the school is they must come from the bottom deciles of our society. Those who are very poor, I am taking the children, I want to cut the chain of poverty. Usually in countries like my countries, countries of the global south, countries of the th..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_017,SPCH_005_WORLD_ECONOMIC_FORUM,17,7,7_united nations_nations_united_peace,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","We must maintain and be a part of a future full of hope. Hope grounded in credibility, execution of sound public policy and continuous record of growth with equity. Let us build the world we want to live in together. Let us continue the journey to improve the quality of life for..."
SPCH_006_PBB_80_CHK_003,SPCH_006_PBB_80,3,7,7_united nations_nations_united_peace,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","We cannot surrender our hopes or our ideals. We must draw closer, not drift further apart. Together we must strive to achieve our hopes, our dreams. The United Nations was born from the ashes of the Second World War that claimed scores of millions of lives. It was created to secu..."
SPCH_006_PBB_80_CHK_009,SPCH_006_PBB_80,9,7,7_united nations_nations_united_peace,1.0,"Palestina, Gaza, dan keadilan global",Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","The only solution is this, two state-solution. Two descendants of Abraham must live in reconciliation, peace and harmony. Arabs, Jews, Muslims, Christians, Hindus, Buddhists, all religions, we must live as one human family. Indonesia is committed to being part of making this visi..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_011,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,11,8,8_koperasi_meals_day_guru,1.0,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Negara yang selalu dianggap tidak bisa apa-apa, kita bisa kasih makan 58 juta orang tiap hari, termasuk ibu hamil diantar makan ke rumah, termasuk lansia diantar makan ke rumah. Not bad, Saudara-saudara sekalian. Dan, insyaallah dan saya percaya yakin akhir tahun 2026, Desember 2..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_015,SPCH_004_PERESMIAN_166_SEKOLAH,15,8,8_koperasi_meals_day_guru,1.0,Pendidikan dan mobilitas sosial,Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Tapi kalau yang ibu-ibu hamil, tujuh hari diberi. Lima puluh delapan juta [penerima manfaat], dalam satu tahun. Negara mana yang bisa berbuat itu? Negara mana? Dan, total sudah kita beri makan itu, kalau tidak salah tiga miliar porsi sudah kita cetak, Saudara-saudara sekalian. In..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_004,SPCH_005_WORLD_ECONOMIC_FORUM,4,8,8_koperasi_meals_day_guru,1.0,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"We saved 18 billion dollars by stopping inefficient and dubious programs from our budget, and redirected this fund, these funds to projects that directly improve livelihoods and impact all of society. As a result, on January 6th, 2025, we started our free nutritious meals program..."
SPCH_001_BRICS_LEADERS_CHK_001,SPCH_001_BRICS_LEADERS,1,9,9_brics_best_danantara_now,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global",Distinguished Leaders of BRICS. It is indeed a great honor for me to join this very important meeting. Indonesia considers BRICS to be a very strong pillar of stability and hope in the current international geopolitical situation. We now experience a world full of instability and...
SPCH_001_BRICS_LEADERS_CHK_002,SPCH_001_BRICS_LEADERS,2,9,9_brics_best_danantara_now,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","We consider now, this is the time that BRICS must continue to evolve. We fully support the initiatives taken. We commend the leadership of President Lula. And, Indonesia is committed to working closer with all the BRICS countries. Thank you very much."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_003,SPCH_005_WORLD_ECONOMIC_FORUM,3,9,9_brics_best_danantara_now,1.0,"Investasi, industrialisasi, dan pertumbuhan ekonomi",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"With Danantara, Indonesia is now able to be your partners. We will co-invest and grow with you. Danantara is established to finance and co-finance the industries of the future. We are determined to industrialize our country in a significant way. The industries of the future must..."
SPCH_002_PANEN_RAYA_CHK_004,SPCH_002_PANEN_RAYA,4,10,10_sudah_proyek_mengerti_juta,1.0,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Walaupun selalu, kita selalu ingat saudara-saudara kita di tempat-tempat yang jauh dari sini, yang mengalami musibah beberapa puluh hari lalu di Aceh, Sumatra Barat, Sumatra Utara tetapi juga ada di Jawa Timur, di Jawa Tengah, ada di Kalimantan, ada beberapa tempat. Kita selalu i..."
SPCH_002_PANEN_RAYA_CHK_014,SPCH_002_PANEN_RAYA,14,10,10_sudah_proyek_mengerti_juta,1.0,Anti-korupsi dan penegakan hukum,Tata kelola pemerintahan dan rule of law,Reformasi tata kelola dan penegakan hukum,"Kita melawan korupsi, kita berantas penyelewengan, kita tegakkan hukum, jangan ragu-ragu, jangan ragu-ragu. Kita sudah mengawasi, sudah sita 4 juta hektare kebun kelapa sawit yang melanggar hukum sudah kita sita. Jampidsus benar? Jaksa Agung? Dan, tahun 2026 mungkin kita akan sit..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_010,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,10,10,10_sudah_proyek_mengerti_juta,1.0,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Ini sangat penting karena kita butuh sekarang membersihkan sampah kita dari kota-kota kita. Sampah itu sudah menumpuk luar biasa. Ini sudah akan menjadi bencana. Belasan tahun tidak bisa kita wujudkan proyek sampah yang baik. Kita sekarang akan mulai 34 proyek, tendernya dibuka m..."
SPCH_002_PANEN_RAYA_CHK_005,SPCH_002_PANEN_RAYA,5,11,11_akal_berjuang_masuk akal_leader,1.0,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"Dari dulu saya mengerti hal ini, tetapi saya tidak mengerti seberapa banyak kebocoran itu. Dari tahun ke tahun sebelum saya menjadi presiden saya berjuang, berjuang sebagai Ketua Umum HKTI, berjuang sebagai ketua umum sebuah partai, kenapa? Karena, saya melihat ada kejanggalan di..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_012,SPCH_004_PERESMIAN_166_SEKOLAH,12,11,11_akal_berjuang_masuk akal_leader,1.0,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"Cita-cita saya di akhir masa jabatan saya, tahun 2029, bahwa mereka yang berada di kemiskinan ekstrem, Desil 1 dan 2, bisa kita ubah nasibnya, kita bisa hilangkan kemiskinan ekstrem di Indonesia. Saya percaya itu bisa terjadi. Keberhasilan-keberhasilan kita sangat banyak, tapi ka..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_013,SPCH_005_WORLD_ECONOMIC_FORUM,13,11,11_akal_berjuang_masuk akal_leader,1.0,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"There is a saying I learned from my elders, one of my elders, a very wise man, very honest, political leader, he told me, ""Prabowo, the duty of a leader is very simple. The leader of this country, if you want to be the leader of this country, you must work. So that the poor and t..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_005,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,5,12,12_persen_sekarang_jadi bangsa_selama,1.0,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Kita hilangkan itu semua, 145 peraturan kita hapus, dan sekarang tidak perlu 13 tanda tangan. Cukup satu tanda tangan, satu instruksi. Kemudian pupuk itu langsung ke petani dan petani tidak perlu pakai macam-macam. Cukup kartu penduduk, cukup disetujui oleh kepala desa, benar dia..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_009,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,9,12,12_persen_sekarang_jadi bangsa_selama,1.0,"Lingkungan, iklim, dan keberlanjutan",Ketahanan lingkungan dan keberlanjutan,Keberlanjutan lingkungan dan sumber daya,"Terlalu banyak pengalaman kita, direksi-direksi BUMN saya katakan saja tidak baik. Saya beri tugas kepada Kepala Danantara dan beberapa menteri-menteri yang bertanggung jawab untuk membersihkan semua BUMN. BUMN sangat banyak. Banyak yang rugi, sudah rugi, minta tantiem lagi. Engg..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_011,SPCH_005_WORLD_ECONOMIC_FORUM,11,12,12_persen_sekarang_jadi bangsa_selama,1.0,Anti-korupsi dan penegakan hukum,Tata kelola pemerintahan dan rule of law,Reformasi tata kelola dan penegakan hukum,"Maybe in many of your countries, there was a period like this, a period of the robber barons. I have confiscated 4 million hectares, but two days ago, I led the cabinet meeting by Zoom from London, and we decided to confiscate or to revoke the licenses of 28 corporations which ha..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_007,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,7,13,13_my_praktik_determined_markup,1.0,Anti-korupsi dan penegakan hukum,Tata kelola pemerintahan dan rule of law,Reformasi tata kelola dan penegakan hukum,"Jangan korupsi, jangan kau cari kaya di atas kepercayaan ini. Direktur Utama Pertamina sangat strategis, Anda bertanggung jawab atas sebuah perusahaan 100 miliar dolar. Godaan akan banyak, tapi Saudara harus teguh dengan semua jajarannya dan saya kasih wewenang seluas-luasnya, si..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_012,SPCH_005_WORLD_ECONOMIC_FORUM,12,13,13_my_praktik_determined_markup,1.0,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"There could be as many as 666 corporations that violate the law."" So, I say, ""What can we do? We can only have the courage to enforce the law. There can be no compromise. There can be no turning back."" My people demand this and we are determined to serve our people in honesty. We..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_016,SPCH_005_WORLD_ECONOMIC_FORUM,16,13,13_my_praktik_determined_markup,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","We don't like to be flamboyant, to be bragging. We believe in evidence, evidence-based action. In fact, I was invited to speak last year here and I declined, why? Because if I had come last year, I would have only been leading my administration only for two months. So, what will..."
